date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:12:49	21693/21693	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Sep%202019%2001:12:48%20GMT	https://csis.fcmat.org/	C:/My%20Web%20Sites/csis.fcmat.org/csis.fcmat.org/index.html	(from )
09:12:49	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Sep%202019%2001:12:47%20GMT	https://csis.fcmat.org/robots.txt		(from )
09:12:50	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Sep%202019%2001:12:48%20GMT	https://csis.fcmat.org/CMS.CSISTheme/favicon.ico	C:/My%20Web%20Sites/csis.fcmat.org/csis.fcmat.org/CMS.CSISTheme/favicon.0.delayed	(from https://csis.fcmat.org/)
09:12:51	48649/48649	---MCZ	200	added ('OK')	text/css	etag:%221d54d50d85da709%22	https://csis.fcmat.org/CMS.CSISTheme/vendor/@fortawesome/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/csis.fcmat.org/csis.fcmat.org/CMS.CSISTheme/vendor/@fortawesome/fontawesome-free/css/all.min.css	(from https://csis.fcmat.org/)
09:12:52	140936/140936	---MCZ	200	added ('OK')	text/css	etag:%221d54d50d85f3f88%22	https://csis.fcmat.org/CMS.CSISTheme/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/csis.fcmat.org/csis.fcmat.org/CMS.CSISTheme/vendor/bootstrap/css/bootstrap.min.css	(from https://csis.fcmat.org/)
09:12:53	13937/13937	---MCZ	200	added ('OK')	text/css	etag:%221d54d50d85d2f71%22	https://csis.fcmat.org/CMS.CSISTheme/vendor/datatables.net/css/jquery.dataTables.min.css	C:/My%20Web%20Sites/csis.fcmat.org/csis.fcmat.org/CMS.CSISTheme/vendor/datatables.net/css/jquery.dataTables.min.css	(from https://csis.fcmat.org/)
09:12:53	15196/15196	---MCZ	200	added ('OK')	text/css	etag:%221d54d50d85d225c%22	https://csis.fcmat.org/CMS.CSISTheme/vendor/select2/css/select2.min.css	C:/My%20Web%20Sites/csis.fcmat.org/csis.fcmat.org/CMS.CSISTheme/vendor/select2/css/select2.min.css	(from https://csis.fcmat.org/)
09:12:54	16452/16452	---MCZ	200	added ('OK')	text/css	etag:%221d54d50d85d5944%22	https://csis.fcmat.org/CMS.CSISTheme/vendor/select2-bootstrap4-theme/select2-bootstrap4.min.css	C:/My%20Web%20Sites/csis.fcmat.org/csis.fcmat.org/CMS.CSISTheme/vendor/select2-bootstrap4-theme/select2-bootstrap4.min.css	(from https://csis.fcmat.org/)
09:12:55	187343/187343	---MCZ	200	added ('OK')	text/css	etag:%221d54d50d85fc2cf%22	https://csis.fcmat.org/CMS.CSISTheme/css/clean-blog-orchard.min.css	C:/My%20Web%20Sites/csis.fcmat.org/csis.fcmat.org/CMS.CSISTheme/css/clean-blog-orchard.min.css	(from https://csis.fcmat.org/)
09:12:56	86927/86927	---MCZ	200	added ('OK')	application/javascript	etag:%221d54d50d85c4a8f%22	https://csis.fcmat.org/CMS.CSISTheme/vendor/jquery/jquery.min.js	C:/My%20Web%20Sites/csis.fcmat.org/csis.fcmat.org/CMS.CSISTheme/vendor/jquery/jquery.min.js	(from https://csis.fcmat.org/)
